epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,104.412,1.79273,4.70559,0.01637,0.01203,0.23011,0.05037,0.02746,1.67679,5.13437,0.01769,0.000219202,0.000219202,0.000219202
2,196.984,1.77624,3.56477,0.01602,0.67719,0.21209,0.20168,0.09859,1.82629,3.92508,0.01959,0.000437164,0.000437164,0.000437164
3,290.138,1.7508,2.99764,0.01548,0.54872,0.26589,0.27376,0.13619,1.84254,3.37658,0.0198,0.000650724,0.000650724,0.000650724
4,381.558,1.7646,2.76663,0.01583,0.52373,0.32635,0.31582,0.15201,1.83727,3.07627,0.02071,0.00064719,0.00064719,0.00064719
5,472.264,1.74561,2.58034,0.01578,0.47211,0.32723,0.33452,0.16207,1.82489,2.91595,0.02033,0.000640587,0.000640587,0.000640587
6,563.828,1.70992,2.39016,0.0152,0.51533,0.37209,0.3616,0.18346,1.80038,2.66437,0.01994,0.000633983,0.000633983,0.000633983
7,656.148,1.70229,2.24902,0.0148,0.59859,0.35062,0.37804,0.18778,1.79573,2.52262,0.02001,0.00062738,0.00062738,0.00062738
8,747.539,1.70868,2.15323,0.01513,0.65236,0.35643,0.40809,0.20303,1.82206,2.33336,0.01983,0.000620777,0.000620777,0.000620777
9,838.986,1.69788,2.09423,0.01505,0.65018,0.37093,0.40334,0.1986,1.78816,2.23268,0.01969,0.000614174,0.000614174,0.000614174
10,935.496,1.67957,1.95877,0.0148,0.53553,0.41604,0.42169,0.21065,1.79399,2.08932,0.0194,0.00060757,0.00060757,0.00060757
11,1028.04,1.68812,1.89292,0.01485,0.71908,0.38388,0.41966,0.21243,1.78051,2.00812,0.0192,0.000600967,0.000600967,0.000600967
12,1122.68,1.69941,1.90059,0.01509,0.67013,0.40174,0.4267,0.20699,1.81589,2.00069,0.01958,0.000594364,0.000594364,0.000594364
13,1218.27,1.6654,1.82244,0.01469,0.63999,0.38266,0.42249,0.2082,1.82715,1.9534,0.01948,0.00058776,0.00058776,0.00058776
14,1317.52,1.67303,1.765,0.01448,0.51547,0.40835,0.42014,0.20982,1.76305,1.89329,0.01908,0.000581157,0.000581157,0.000581157
15,1417.75,1.65906,1.70672,0.01456,0.69537,0.42038,0.43967,0.22435,1.75287,1.81917,0.01871,0.000574554,0.000574554,0.000574554
16,1514.82,1.68542,1.70969,0.01431,0.60794,0.39101,0.4213,0.2176,1.77167,1.80014,0.01937,0.00056795,0.00056795,0.00056795
17,1612.27,1.67125,1.65637,0.0146,0.56436,0.43181,0.45234,0.22789,1.7646,1.76232,0.01896,0.000561347,0.000561347,0.000561347
18,1710.8,1.65163,1.62834,0.01426,0.61723,0.42027,0.44026,0.21898,1.81057,1.77723,0.01947,0.000554744,0.000554744,0.000554744
19,1807.86,1.64744,1.61019,0.01433,0.54805,0.43383,0.45865,0.23031,1.78259,1.693,0.01915,0.000548141,0.000548141,0.000548141
20,1904.93,1.65006,1.59003,0.01467,0.73365,0.4222,0.45755,0.23177,1.73564,1.66676,0.01843,0.000541537,0.000541537,0.000541537
21,2004.25,1.64647,1.58003,0.01425,0.64606,0.43063,0.45074,0.22817,1.76604,1.68671,0.01911,0.000534934,0.000534934,0.000534934
22,2105.74,1.62734,1.56479,0.01431,0.74208,0.42347,0.44408,0.2184,1.78332,1.67965,0.01888,0.000528331,0.000528331,0.000528331
23,2203.49,1.63729,1.55854,0.01442,0.69203,0.44838,0.45765,0.22797,1.75812,1.64046,0.01879,0.000521727,0.000521727,0.000521727
24,2296.36,1.61323,1.50646,0.01375,0.68196,0.41833,0.46578,0.23419,1.76489,1.62928,0.01865,0.000515124,0.000515124,0.000515124
25,2386.37,1.60776,1.47914,0.01389,0.73522,0.43025,0.47251,0.2287,1.79581,1.62486,0.01969,0.000508521,0.000508521,0.000508521
26,2476.86,1.61897,1.4689,0.01401,0.70292,0.44297,0.46283,0.2319,1.79893,1.58664,0.01925,0.000501917,0.000501917,0.000501917
27,2567.18,1.59242,1.43421,0.01388,0.6605,0.46443,0.48372,0.24007,1.78259,1.54963,0.01929,0.000495314,0.000495314,0.000495314
28,2657.91,1.59331,1.45577,0.01381,0.74383,0.43199,0.46087,0.23384,1.78164,1.58861,0.01888,0.000488711,0.000488711,0.000488711
29,2747.21,1.58152,1.39697,0.01338,0.62117,0.457,0.46597,0.23462,1.78941,1.55319,0.01933,0.000482108,0.000482108,0.000482108
30,2836.67,1.5775,1.41644,0.01363,0.64107,0.46681,0.48575,0.24356,1.77752,1.542,0.01896,0.000475504,0.000475504,0.000475504
31,2927.41,1.59298,1.41631,0.01369,0.67551,0.46491,0.48808,0.24158,1.76254,1.50596,0.01886,0.000468901,0.000468901,0.000468901
32,3017.07,1.56473,1.37109,0.01352,0.64994,0.45314,0.46797,0.23616,1.77413,1.53551,0.01881,0.000462298,0.000462298,0.000462298
33,3106.63,1.57276,1.36465,0.01365,0.70104,0.48144,0.49274,0.24518,1.78486,1.53493,0.01884,0.000455694,0.000455694,0.000455694
34,3196.12,1.57078,1.34237,0.01329,0.75106,0.44317,0.48967,0.23986,1.78855,1.51147,0.01913,0.000449091,0.000449091,0.000449091
35,3286.77,1.56872,1.33448,0.01303,0.72318,0.44519,0.47688,0.23473,1.80896,1.52839,0.01928,0.000442488,0.000442488,0.000442488
36,3377.03,1.56447,1.32679,0.0132,0.76164,0.44651,0.49383,0.24799,1.80331,1.50147,0.01899,0.000435884,0.000435884,0.000435884
37,3466.73,1.55288,1.27917,0.01286,0.75475,0.43939,0.48928,0.24315,1.81393,1.49953,0.01939,0.000429281,0.000429281,0.000429281
38,3558.87,1.5575,1.31321,0.01345,0.73137,0.46494,0.49738,0.24785,1.79047,1.49284,0.01898,0.000422678,0.000422678,0.000422678
39,3649.37,1.5379,1.3004,0.01298,0.64724,0.47544,0.5,0.25034,1.79668,1.43718,0.01905,0.000416075,0.000416075,0.000416075
40,3738.8,1.54701,1.30237,0.01311,0.76629,0.45391,0.49261,0.25179,1.76932,1.46801,0.01875,0.000409471,0.000409471,0.000409471
41,3828.22,1.50677,1.24603,0.0125,0.74549,0.47281,0.50191,0.25062,1.80582,1.40256,0.01917,0.000402868,0.000402868,0.000402868
42,3918.79,1.52696,1.24422,0.0126,0.58807,0.50859,0.51633,0.25647,1.81607,1.43203,0.01913,0.000396265,0.000396265,0.000396265
43,4007.89,1.54328,1.26111,0.01301,0.81662,0.43272,0.50199,0.24964,1.80526,1.44601,0.01921,0.000389661,0.000389661,0.000389661
44,4097.21,1.50428,1.21898,0.013,0.79919,0.44165,0.49893,0.25245,1.81037,1.43399,0.01938,0.000383058,0.000383058,0.000383058
45,4186.54,1.52123,1.22721,0.01298,0.81394,0.4347,0.49279,0.24953,1.8003,1.4583,0.01881,0.000376455,0.000376455,0.000376455
46,4275.75,1.52289,1.24531,0.01304,0.56763,0.51501,0.5098,0.25128,1.79875,1.42561,0.01901,0.000369851,0.000369851,0.000369851
47,4365.56,1.51838,1.22173,0.01271,0.78299,0.46503,0.50675,0.25412,1.78504,1.41525,0.01911,0.000363248,0.000363248,0.000363248
48,4455.88,1.50643,1.20464,0.01249,0.78355,0.47203,0.51488,0.25674,1.79511,1.38733,0.01916,0.000356645,0.000356645,0.000356645
49,4545.36,1.49297,1.20357,0.01246,0.75707,0.48638,0.5084,0.25222,1.79268,1.42829,0.01899,0.000350042,0.000350042,0.000350042
50,4633.95,1.49925,1.19225,0.01245,0.59188,0.50934,0.50937,0.24978,1.8156,1.42668,0.01933,0.000343438,0.000343438,0.000343438
51,4722.44,1.50017,1.19129,0.01233,0.75846,0.46761,0.50982,0.25501,1.81177,1.40977,0.01928,0.000336835,0.000336835,0.000336835
52,4811.22,1.51377,1.18462,0.01228,0.56572,0.50824,0.50634,0.25007,1.79717,1.39471,0.01905,0.000330232,0.000330232,0.000330232
53,4901.67,1.49323,1.1687,0.0123,0.67897,0.47951,0.49076,0.24434,1.83289,1.38947,0.0192,0.000323628,0.000323628,0.000323628
54,4993.18,1.48699,1.15909,0.01223,0.79204,0.4761,0.51861,0.25043,1.84052,1.38489,0.01948,0.000317025,0.000317025,0.000317025
55,5082.57,1.47695,1.1505,0.01224,0.60344,0.52675,0.51876,0.25344,1.83365,1.38297,0.01935,0.000310422,0.000310422,0.000310422
56,5171.94,1.48009,1.12814,0.01213,0.61513,0.48746,0.50922,0.25542,1.83173,1.37254,0.01921,0.000303818,0.000303818,0.000303818
57,5261.28,1.46327,1.11833,0.01219,0.73483,0.47917,0.51916,0.25805,1.80995,1.36242,0.01905,0.000297215,0.000297215,0.000297215
58,5352.98,1.44306,1.10088,0.01237,0.75409,0.49532,0.51626,0.25663,1.82166,1.37208,0.01923,0.000290612,0.000290612,0.000290612
59,5448.84,1.46632,1.10837,0.01184,0.76059,0.4716,0.51234,0.25483,1.82271,1.36457,0.01899,0.000284009,0.000284009,0.000284009
60,5543,1.46942,1.09554,0.01205,0.65754,0.4893,0.50673,0.25578,1.8032,1.39265,0.01874,0.000277405,0.000277405,0.000277405
61,5632.6,1.45921,1.10721,0.01173,0.64491,0.4982,0.50244,0.24898,1.81446,1.40632,0.01891,0.000270802,0.000270802,0.000270802
62,5723.21,1.44497,1.08139,0.012,0.65778,0.48788,0.52413,0.26153,1.8188,1.36583,0.01893,0.000264199,0.000264199,0.000264199
63,5814.25,1.44685,1.09352,0.01162,0.63215,0.4987,0.52493,0.2636,1.82825,1.36176,0.01891,0.000257595,0.000257595,0.000257595
64,5907.63,1.44119,1.08788,0.01164,0.78983,0.47942,0.53169,0.26213,1.83394,1.38066,0.01924,0.000250992,0.000250992,0.000250992
65,6000.24,1.45271,1.07263,0.01182,0.65194,0.48361,0.51198,0.2542,1.84707,1.38491,0.0195,0.000244389,0.000244389,0.000244389
66,6094.27,1.4416,1.05322,0.01181,0.61086,0.51732,0.52087,0.25946,1.81629,1.37097,0.01887,0.000237785,0.000237785,0.000237785
67,6188.72,1.4411,1.06926,0.0114,0.62054,0.50368,0.53304,0.26214,1.82359,1.3329,0.01917,0.000231182,0.000231182,0.000231182
68,6284.34,1.42304,1.05456,0.01157,0.67192,0.47822,0.519,0.2566,1.81276,1.36833,0.019,0.000224579,0.000224579,0.000224579
69,6381.28,1.44148,1.06843,0.01176,0.60057,0.52774,0.52152,0.25911,1.82808,1.36014,0.01911,0.000217976,0.000217976,0.000217976
70,6478.09,1.42521,1.04936,0.01152,0.66684,0.46963,0.50982,0.2541,1.82569,1.37039,0.01908,0.000211372,0.000211372,0.000211372
71,6573.2,1.40652,1.02512,0.01139,0.69517,0.46759,0.52443,0.26597,1.82057,1.35718,0.01894,0.000204769,0.000204769,0.000204769
72,6668.62,1.42217,1.0722,0.01126,0.62356,0.516,0.52436,0.26501,1.80295,1.34127,0.01894,0.000198166,0.000198166,0.000198166
