frame,video_time_sec,segment_id,segment_description,ground_truth,prediction,correct,primary_track_present,raw_activity,smoothed_activity,semantic_activity
1,0.000000,1,Walking,walking,unknown,0,1,unknown,unknown,unknown
2,0.090909,1,Walking,walking,carrying,0,1,carrying,carrying,carrying
3,0.181818,1,Walking,walking,carrying,0,1,carrying,carrying,carrying
4,0.272727,1,Walking,walking,carrying,0,1,carrying,carrying,carrying
5,0.363636,1,Walking,walking,carrying,0,1,carrying,carrying,carrying
6,0.454545,1,Walking,walking,carrying,0,1,carrying,carrying,carrying
7,0.545455,1,Walking,walking,carrying,0,1,carrying,carrying,carrying
8,0.636364,1,Walking,walking,carrying,0,1,carrying,carrying,carrying
9,0.727273,1,Walking,walking,carrying,0,1,carrying,carrying,carrying
10,0.818182,1,Walking,walking,carrying,0,1,carrying,carrying,carrying
11,0.909091,1,Walking,walking,carrying,0,1,standing,carrying,carrying
12,1.000000,1,Walking,walking,carrying,0,1,standing,carrying,carrying
13,1.090909,1,Walking,walking,carrying,0,1,standing,carrying,carrying
14,1.181818,1,Walking,walking,carrying,0,1,standing,carrying,carrying
15,1.272727,1,Walking,walking,standing,0,1,idle,standing,standing
16,1.363636,1,Walking,walking,standing,0,1,idle,standing,standing
17,1.454545,1,Walking,walking,standing,0,1,idle,standing,standing
18,1.545455,1,Walking,walking,standing,0,1,idle,standing,standing
19,1.636364,1,Walking,walking,idle,0,1,idle,idle,idle
20,1.727273,1,Walking,walking,idle,0,1,idle,idle,idle
21,1.818182,1,Walking,walking,idle,0,1,idle,idle,idle
22,1.909091,1,Walking,walking,idle,0,1,idle,idle,idle
23,2.000000,1,Walking,walking,idle,0,1,idle,idle,idle
24,2.090909,1,Walking,walking,idle,0,1,standing,idle,idle
25,2.181818,1,Walking,walking,idle,0,1,standing,idle,idle
26,2.272727,1,Walking,walking,idle,0,1,standing,idle,idle
27,2.363636,1,Walking,walking,idle,0,1,standing,idle,idle
28,2.454545,1,Walking,walking,standing,0,1,standing,standing,standing
29,2.545455,1,Walking,walking,standing,0,1,standing,standing,standing
30,2.636364,1,Walking,walking,standing,0,1,standing,standing,standing
31,2.727273,1,Walking,walking,standing,0,1,walking,standing,standing
32,2.818182,1,Walking,walking,standing,0,1,carrying,standing,standing
33,2.909091,1,Walking,walking,standing,0,1,carrying,standing,standing
34,3.000000,1,Walking,walking,standing,0,1,carrying,standing,standing
35,3.090909,1,Walking,walking,standing,0,1,carrying,standing,standing
36,3.181818,1,Walking,walking,carrying,0,1,carrying,carrying,carrying
37,3.272727,1,Walking,walking,carrying,0,1,carrying,carrying,carrying
38,3.363636,1,Walking,walking,material_handling,0,1,walking,carrying,material_handling
39,3.454545,1,Walking,walking,material_handling,0,1,walking,carrying,material_handling
40,3.545455,1,Walking,walking,material_handling,0,1,walking,carrying,material_handling
41,3.636364,1,Walking,walking,material_handling,0,1,walking,carrying,material_handling
42,3.727273,1,Walking,walking,material_handling,0,1,walking,walking,material_handling
43,3.818182,1,Walking,walking,material_handling,0,1,walking,walking,material_handling
44,3.909091,1,Walking,walking,walking,1,1,walking,walking,walking
45,4.000000,1,Walking,walking,walking,1,1,walking,walking,walking
46,4.090909,1,Walking,walking,walking,1,1,walking,walking,walking
47,4.181818,1,Walking,walking,walking,1,1,walking,walking,walking
48,4.272727,1,Walking,walking,walking,1,1,walking,walking,walking
49,4.363636,1,Walking,walking,walking,1,1,walking,walking,walking
50,4.454545,1,Walking,walking,walking,1,1,walking,walking,walking
51,4.545455,1,Walking,walking,walking,1,1,walking,walking,walking
52,4.636364,1,Walking,walking,walking,1,1,walking,walking,walking
53,4.727273,1,Walking,walking,walking,1,1,walking,walking,walking
54,4.818182,1,Walking,walking,walking,1,1,walking,walking,walking
55,4.909091,1,Walking,walking,walking,1,1,walking,walking,walking
56,5.000000,2,Idle,idle,walking,0,1,walking,walking,walking
57,5.090909,2,Idle,idle,walking,0,1,standing,walking,walking
58,5.181818,2,Idle,idle,walking,0,1,standing,walking,walking
59,5.272727,2,Idle,idle,walking,0,1,walking,walking,walking
60,5.363636,2,Idle,idle,walking,0,1,walking,walking,walking
61,5.454545,2,Idle,idle,walking,0,1,walking,walking,walking
62,5.545455,2,Idle,idle,walking,0,1,walking,walking,walking
63,5.636364,2,Idle,idle,walking,0,1,walking,walking,walking
64,5.727273,2,Idle,idle,walking,0,1,standing,walking,walking
65,5.818182,2,Idle,idle,walking,0,1,standing,walking,walking
66,5.909091,2,Idle,idle,walking,0,1,standing,walking,walking
67,6.000000,2,Idle,idle,walking,0,1,standing,walking,walking
68,6.090909,2,Idle,idle,standing,0,1,standing,standing,standing
69,6.181818,2,Idle,idle,standing,0,1,standing,standing,standing
70,6.272727,2,Idle,idle,standing,0,1,standing,standing,standing
71,6.363636,2,Idle,idle,standing,0,1,standing,standing,standing
72,6.454545,2,Idle,idle,standing,0,1,standing,standing,standing
73,6.545455,2,Idle,idle,standing,0,1,idle,standing,standing
74,6.636364,2,Idle,idle,standing,0,1,idle,standing,standing
75,6.727273,2,Idle,idle,standing,0,1,idle,standing,standing
76,6.818182,2,Idle,idle,standing,0,1,idle,standing,standing
77,6.909091,2,Idle,idle,idle,1,1,idle,idle,idle
78,7.000000,2,Idle,idle,idle,1,1,idle,idle,idle
79,7.090909,2,Idle,idle,idle,1,1,idle,idle,idle
80,7.181818,2,Idle,idle,idle,1,1,idle,idle,idle
81,7.272727,2,Idle,idle,idle,1,1,idle,idle,idle
82,7.363636,2,Idle,idle,idle,1,1,idle,idle,idle
83,7.454545,2,Idle,idle,idle,1,1,standing,idle,idle
84,7.545455,2,Idle,idle,idle,1,1,idle,idle,idle
85,7.636364,2,Idle,idle,idle,1,1,standing,idle,idle
86,7.727273,2,Idle,idle,idle,1,1,standing,idle,idle
87,7.818182,2,Idle,idle,idle,1,1,standing,idle,idle
88,7.909091,2,Idle,idle,standing,0,1,standing,standing,standing
89,8.000000,2,Idle,idle,standing,0,1,standing,standing,standing
90,8.090909,2,Idle,idle,standing,0,1,idle,standing,standing
91,8.181818,2,Idle,idle,standing,0,1,idle,standing,standing
92,8.272727,2,Idle,idle,standing,0,1,idle,standing,standing
93,8.363636,2,Idle,idle,standing,0,1,idle,standing,standing
94,8.454545,2,Idle,idle,idle,1,1,idle,idle,idle
95,8.545455,2,Idle,idle,idle,1,1,idle,idle,idle
96,8.636364,2,Idle,idle,idle,1,1,idle,idle,idle
97,8.727273,2,Idle,idle,idle,1,1,idle,idle,idle
98,8.818182,2,Idle,idle,idle,1,1,idle,idle,idle
99,8.909091,2,Idle,idle,idle,1,1,idle,idle,idle
100,9.000000,2,Idle,idle,idle,1,1,idle,idle,idle
101,9.090909,2,Idle,idle,idle,1,1,idle,idle,idle
102,9.181818,2,Idle,idle,idle,1,1,idle,idle,idle
103,9.272727,2,Idle,idle,idle,1,1,idle,idle,idle
104,9.363636,2,Idle,idle,idle,1,1,idle,idle,idle
105,9.454545,2,Idle,idle,idle,1,1,idle,idle,idle
106,9.545455,2,Idle,idle,idle,1,1,idle,idle,idle
107,9.636364,2,Idle,idle,idle,1,1,idle,idle,idle
108,9.727273,2,Idle,idle,idle,1,1,idle,idle,idle
109,9.818182,2,Idle,idle,idle,1,1,idle,idle,idle
110,9.909091,2,Idle,idle,idle,1,1,idle,idle,idle
111,10.000000,2,Idle,idle,idle,1,1,idle,idle,idle
112,10.090909,2,Idle,idle,idle,1,1,idle,idle,idle
113,10.181818,2,Idle,idle,idle,1,1,idle,idle,idle
114,10.272727,2,Idle,idle,idle,1,1,idle,idle,idle
115,10.363636,2,Idle,idle,idle,1,1,idle,idle,idle
116,10.454545,2,Idle,idle,idle,1,1,idle,idle,idle
117,10.545455,2,Idle,idle,idle,1,1,idle,idle,idle
118,10.636364,2,Idle,idle,idle,1,1,idle,idle,idle
119,10.727273,2,Idle,idle,idle,1,1,idle,idle,idle
120,10.818182,2,Idle,idle,idle,1,1,idle,idle,idle
121,10.909091,2,Idle,idle,idle,1,1,idle,idle,idle
122,11.000000,2,Idle,idle,idle,1,1,idle,idle,idle
123,11.090909,2,Idle,idle,idle,1,1,idle,idle,idle
124,11.181818,2,Idle,idle,idle,1,1,idle,idle,idle
125,11.272727,2,Idle,idle,idle,1,1,idle,idle,idle
126,11.363636,2,Idle,idle,idle,1,1,idle,idle,idle
127,11.454545,2,Idle,idle,idle,1,1,idle,idle,idle
128,11.545455,2,Idle,idle,idle,1,1,idle,idle,idle
129,11.636364,2,Idle,idle,idle,1,1,idle,idle,idle
130,11.727273,2,Idle,idle,idle,1,1,idle,idle,idle
131,11.818182,2,Idle,idle,idle,1,1,idle,idle,idle
132,11.909091,2,Idle,idle,idle,1,1,idle,idle,idle
133,12.000000,2,Idle,idle,idle,1,1,idle,idle,idle
134,12.090909,2,Idle,idle,idle,1,1,idle,idle,idle
135,12.181818,2,Idle,idle,idle,1,1,idle,idle,idle
136,12.272727,2,Idle,idle,idle,1,1,idle,idle,idle
137,12.363636,2,Idle,idle,idle,1,1,idle,idle,idle
138,12.454545,2,Idle,idle,idle,1,1,idle,idle,idle
139,12.545455,2,Idle,idle,idle,1,1,idle,idle,idle
140,12.636364,2,Idle,idle,idle,1,1,idle,idle,idle
141,12.727273,2,Idle,idle,idle,1,1,idle,idle,idle
142,12.818182,2,Idle,idle,idle,1,1,idle,idle,idle
143,12.909091,2,Idle,idle,idle,1,1,idle,idle,idle
144,13.000000,2,Idle,idle,idle,1,1,idle,idle,idle
145,13.090909,2,Idle,idle,idle,1,1,idle,idle,idle
146,13.181818,2,Idle,idle,idle,1,1,idle,idle,idle
147,13.272727,2,Idle,idle,idle,1,1,idle,idle,idle
148,13.363636,2,Idle,idle,idle,1,1,idle,idle,idle
149,13.454545,2,Idle,idle,idle,1,1,idle,idle,idle
150,13.545455,2,Idle,idle,idle,1,1,idle,idle,idle
151,13.636364,2,Idle,idle,idle,1,1,idle,idle,idle
152,13.727273,2,Idle,idle,idle,1,1,idle,idle,idle
153,13.818182,2,Idle,idle,idle,1,1,idle,idle,idle
154,13.909091,2,Idle,idle,idle,1,1,idle,idle,idle
155,14.000000,2,Idle,idle,idle,1,1,idle,idle,idle
156,14.090909,2,Idle,idle,idle,1,1,idle,idle,idle
157,14.181818,2,Idle,idle,idle,1,1,idle,idle,idle
158,14.272727,2,Idle,idle,idle,1,1,idle,idle,idle
159,14.363636,2,Idle,idle,idle,1,1,idle,idle,idle
160,14.454545,2,Idle,idle,idle,1,1,idle,idle,idle
161,14.545455,2,Idle,idle,idle,1,1,idle,idle,idle
162,14.636364,2,Idle,idle,idle,1,1,idle,idle,idle
163,14.727273,2,Idle,idle,idle,1,1,idle,idle,idle
164,14.818182,2,Idle,idle,idle,1,1,idle,idle,idle
165,14.909091,2,Idle,idle,idle,1,1,idle,idle,idle
166,15.000000,2,Idle,idle,idle,1,1,idle,idle,idle
167,15.090909,2,Idle,idle,idle,1,1,idle,idle,idle
168,15.181818,2,Idle,idle,idle,1,1,idle,idle,idle
