ground_truth,second,timestamp,track_id,accepted,rejected,decision,stgcn,stgcn_confidence,gru_observations,gru,gru_confidence
Starting standing
standing,1,2026-08-19T03:19:35.130525+01:00,1,467,56,accepted,None,0,4,unknown,0.0
standing,2,2026-08-19T03:19:35.665435+01:00,1,470,56,accepted,None,0,7,unknown,0.0
standing,3,2026-08-19T03:19:37.463664+01:00,1,474,56,accepted,None,0,11,unknown,0.0
standing,4,2026-08-19T03:19:38.635660+01:00,1,480,57,accepted,idle,0.9537,17,idle,0.8129
standing,5,2026-08-19T03:19:39.723798+01:00,1,481,57,accepted,idle,0.9766,19,idle,0.7957
standing,6,2026-08-19T03:19:40.805607+01:00,1,486,57,accepted,idle,0.9873,23,idle,0.7217
standing,7,2026-08-19T03:19:42.204623+01:00,1,493,57,accepted,walking,0.9426,30,idle,0.6232
standing,8,2026-08-19T03:19:42.571600+01:00,1,494,58,cadence_slot,walking,0.9324,31,idle,0.6141
standing,9,2026-08-19T03:19:44.534471+01:00,1,498,58,accepted,standing,0.3285,35,idle,0.5552
standing,10,2026-08-19T03:19:45.579268+01:00,1,503,58,accepted,standing,0.4573,40,idle,0.5486
standing,11,2026-08-19T03:19:45.878211+01:00,1,505,58,accepted,idle,0.6371,42,idle,0.5469
standing,12,2026-08-19T03:19:47.596998+01:00,1,508,59,accepted,idle,0.8819,45,idle,0.526
standing,13,2026-08-19T03:19:48.891080+01:00,1,511,59,accepted,idle,0.5462,48,idle,0.4824
standing,14,2026-08-19T03:19:50.176356+01:00,1,516,59,accepted,carrying,0.4313,53,standing,0.4425
standing,15,2026-08-19T03:19:51.258835+01:00,1,521,59,accepted,idle,0.9443,58,standing,0.3958
Starting walking
walking,1,2026-08-19T03:19:53.361432+01:00,1,527,59,accepted,idle,0.8155,64,material_handling,0.499
walking,2,2026-08-19T03:19:55.281418+01:00,1,532,60,accepted,walking,0.7912,69,material_handling,0.3837
walking,3,2026-08-19T03:19:55.476442+01:00,1,533,60,accepted,walking,0.9044,70,standing,0.4043
walking,4,2026-08-19T03:19:57.209650+01:00,1,538,60,accepted,walking,0.9998,75,material_handling,0.9416
walking,5,2026-08-19T03:19:58.543212+01:00,1,541,60,accepted,walking,0.9999,78,material_handling,0.969
walking,6,2026-08-19T03:19:59.628360+01:00,1,542,60,accepted,walking,0.9999,79,material_handling,0.9697
walking,7,2026-08-19T03:20:00.927350+01:00,1,544,61,cadence_slot,walking,0.9999,81,material_handling,0.9565
walking,8,2026-08-19T03:20:01.170640+01:00,1,545,61,accepted,walking,1.0,82,material_handling,0.9388
walking,9,2026-08-19T03:20:02.790342+01:00,1,548,62,cadence_slot,walking,1.0,85,material_handling,0.782
walking,10,2026-08-19T03:20:04.231559+01:00,1,552,62,accepted,walking,1.0,89,walking,0.3969
walking,11,2026-08-19T03:20:05.458367+01:00,1,557,62,accepted,walking,0.9999,94,walking,0.9828
walking,12,2026-08-19T03:20:05.846802+01:00,1,559,62,accepted,walking,0.9999,96,walking,0.9865
walking,13,2026-08-19T03:20:07.366033+01:00,1,562,62,accepted,walking,1.0,99,walking,0.9848
walking,14,2026-08-19T03:20:08.964583+01:00,1,566,63,accepted,walking,1.0,103,walking,0.9906
walking,15,2026-08-19T03:20:10.066966+01:00,1,567,63,accepted,walking,1.0,104,walking,0.9916
Starting bending
bending,1,2026-08-19T03:20:13.139979+01:00,1,573,63,accepted,None,0,4,unknown,0.0
bending,2,2026-08-19T03:20:13.139979+01:00,1,574,63,accepted,None,0,5,unknown,0.0
bending,3,2026-08-19T03:20:15.263447+01:00,1,578,65,accepted,None,0,9,unknown,0.0
bending,4,2026-08-19T03:20:15.751220+01:00,1,580,66,cadence_slot,None,0,11,unknown,0.0
bending,5,2026-08-19T03:20:17.656737+01:00,1,586,67,accepted,bending,0.9966,17,bending,0.967
bending,6,2026-08-19T03:20:18.670667+01:00,1,590,69,accepted,bending,0.9995,21,bending,0.9289
bending,7,2026-08-19T03:20:18.869507+01:00,1,591,69,accepted,bending,0.9993,22,bending,0.902
bending,8,2026-08-19T03:20:20.824168+01:00,1,597,70,accepted,bending,0.9746,28,bending,0.7037
bending,9,2026-08-19T03:20:22.007573+01:00,1,601,70,accepted,bending,0.9747,33,bending,0.8524
bending,10,2026-08-19T03:20:23.285404+01:00,1,607,72,accepted,bending,0.9996,38,bending,0.9044
bending,11,2026-08-19T03:20:24.373268+01:00,1,612,74,cadence_slot,bending,0.977,43,bending,0.743
bending,12,2026-08-19T03:20:24.580908+01:00,1,613,74,accepted,bending,0.996,44,bending,0.8956
bending,13,2026-08-19T03:20:25.804628+01:00,1,616,74,accepted,bending,0.9956,47,bending,0.8854
bending,14,2026-08-19T03:20:27.356056+01:00,1,619,74,accepted,bending,0.9955,50,bending,0.9645
bending,15,2026-08-19T03:20:28.496373+01:00,1,621,74,accepted,bending,0.9903,52,bending,0.9615
