ground_truth,second,timestamp,track_id,accepted,rejected,decision,stgcn,stgcn_confidence,gru_observations,gru,gru_confidence
Starting standing
standing,1,2026-08-19T00:20:35.629704+01:00,1,33,5,accepted,standing,0.9884,32,standing,0.9528
standing,2,2026-08-19T00:20:36.789869+01:00,1,38,8,cadence_slot,standing,0.9956,37,standing,0.9414
standing,3,2026-08-19T00:20:37.881841+01:00,1,44,9,accepted,idle,0.7659,43,standing,0.9076
standing,4,2026-08-19T00:20:38.975332+01:00,1,49,12,cadence_slot,idle,0.7396,48,standing,0.6446
standing,5,2026-08-19T00:20:40.074836+01:00,1,55,13,accepted,standing,0.9256,54,idle,0.7355
standing,6,2026-08-19T00:20:41.130973+01:00,1,59,16,cadence_slot,standing,0.9922,58,standing,0.9574
standing,7,2026-08-19T00:20:42.092864+01:00,1,64,16,accepted,standing,0.9819,63,standing,0.9664
standing,8,2026-08-19T00:20:43.207278+01:00,1,70,17,accepted,idle,0.8347,69,standing,0.9668
standing,9,2026-08-19T00:20:44.333160+01:00,1,75,20,cadence_slot,standing,0.8145,74,standing,0.9648
standing,10,2026-08-19T00:20:45.386815+01:00,1,81,22,accepted,idle,0.8744,80,standing,0.9621
standing,11,2026-08-19T00:20:46.423249+01:00,1,86,22,accepted,idle,0.5621,85,standing,0.9596
standing,12,2026-08-19T00:20:47.589043+01:00,1,91,24,cadence_slot,standing,0.9245,90,standing,0.9593
standing,13,2026-08-19T00:20:48.678266+01:00,1,97,24,accepted,idle,0.7393,96,standing,0.9578
standing,14,2026-08-19T00:20:49.645623+01:00,1,102,26,accepted,idle,0.8474,101,standing,0.9549
standing,15,2026-08-19T00:20:50.889036+01:00,1,107,28,accepted,standing,0.7763,106,standing,0.9508
Starting walking
walking,1,2026-08-19T00:20:53.828177+01:00,1,120,32,cadence_slot,standing,0.7074,119,standing,0.9248
walking,2,2026-08-19T00:20:54.772688+01:00,1,124,34,cadence_slot,standing,0.9808,123,standing,0.8865
walking,3,2026-08-19T00:20:55.893458+01:00,1,129,35,accepted,standing,0.9972,128,standing,0.5072
walking,4,2026-08-19T00:20:56.991153+01:00,1,134,37,cadence_slot,standing,0.9998,134,standing,0.7333
walking,5,2026-08-19T00:20:58.130394+01:00,1,140,38,accepted,standing,0.9979,139,standing,0.9562
walking,6,2026-08-19T00:20:59.329005+01:00,1,146,39,cadence_slot,standing,0.998,145,standing,0.9598
walking,7,2026-08-19T00:21:00.331708+01:00,1,151,40,accepted,standing,0.9988,151,standing,0.9607
walking,8,2026-08-19T00:21:01.233685+01:00,1,157,41,accepted,standing,0.9825,156,standing,0.9615
walking,9,2026-08-19T00:21:02.492729+01:00,1,161,42,accepted,standing,0.9941,160,standing,0.9597
walking,10,2026-08-19T00:21:03.631165+01:00,1,167,43,accepted,standing,0.9973,166,standing,0.9577
walking,11,2026-08-19T00:21:04.655871+01:00,1,172,45,accepted,standing,0.9981,171,standing,0.954
walking,12,2026-08-19T00:21:05.699236+01:00,1,177,46,accepted,standing,0.988,176,standing,0.9517
walking,13,2026-08-19T00:21:06.882233+01:00,1,183,48,accepted,standing,0.9927,182,standing,0.9494
walking,14,2026-08-19T00:21:07.903184+01:00,1,188,49,accepted,standing,0.9939,187,standing,0.9498
walking,15,2026-08-19T00:21:08.953394+01:00,1,193,51,cadence_slot,standing,0.9901,192,standing,0.9442
Starting bending
bending,1,2026-08-19T00:21:11.726126+01:00,1,206,53,accepted,standing,0.9437,205,standing,0.8856
bending,2,2026-08-19T00:21:12.773678+01:00,1,210,54,cadence_slot,standing,0.9981,210,standing,0.7799
bending,3,2026-08-19T00:21:13.966797+01:00,1,216,56,cadence_slot,standing,0.8915,215,idle,0.5764
bending,4,2026-08-19T00:21:14.984162+01:00,1,220,57,cadence_slot,standing,0.8382,219,standing,0.9434
bending,5,2026-08-19T00:21:15.942452+01:00,1,225,58,cadence_slot,material_handling,0.4118,224,standing,0.9507
bending,6,2026-08-19T00:21:17.093825+01:00,1,231,60,accepted,standing,0.9326,230,standing,0.9526
bending,7,2026-08-19T00:21:18.123395+01:00,1,235,61,accepted,standing,0.6565,234,standing,0.9479
bending,8,2026-08-19T00:21:19.368915+01:00,1,241,62,accepted,standing,0.8256,240,standing,0.9443
bending,9,2026-08-19T00:21:20.359742+01:00,1,246,63,accepted,material_handling,0.9998,245,standing,0.9211
bending,10,2026-08-19T00:21:21.496438+01:00,1,252,65,accepted,material_handling,0.9997,251,standing,0.8394
bending,11,2026-08-19T00:21:22.508879+01:00,1,257,65,accepted,material_handling,0.9324,256,idle,0.5092
bending,12,2026-08-19T00:21:23.657223+01:00,1,262,67,accepted,standing,0.5218,261,idle,0.7026
bending,13,2026-08-19T00:21:24.681408+01:00,1,266,69,accepted,material_handling,1.0,265,idle,0.7377
bending,14,2026-08-19T00:21:25.691116+01:00,1,271,70,accepted,material_handling,0.9997,270,standing,0.9312
bending,15,2026-08-19T00:21:26.777179+01:00,1,276,72,accepted,walking,0.6443,276,standing,0.9475
