ground_truth,second,timestamp,track_id,accepted,rejected,decision,stgcn,stgcn_confidence,gru_observations,gru,gru_confidence
Starting standing
standing,1,2026-08-19T02:56:35.929090+01:00,2,74,0,accepted,None,0,8,unknown,0.0
standing,2,2026-08-19T02:56:37.045931+01:00,2,75,0,accepted,None,0,9,unknown,0.0
standing,3,2026-08-19T02:56:38.114350+01:00,2,76,0,accepted,None,0,10,unknown,0.0
standing,4,2026-08-19T02:56:39.189433+01:00,2,77,0,accepted,None,0,11,unknown,0.0
standing,5,2026-08-19T02:56:40.283338+01:00,2,78,0,accepted,None,0,12,unknown,0.0
standing,6,2026-08-19T02:56:41.374846+01:00,2,79,0,accepted,None,0,13,unknown,0.0
standing,7,2026-08-19T02:56:42.435199+01:00,2,81,0,accepted,None,0,15,unknown,0.0
standing,8,2026-08-19T02:56:44.598568+01:00,2,82,0,accepted,standing,0.5853,16,walking,0.6476
standing,9,2026-08-19T02:56:45.645120+01:00,2,83,0,accepted,standing,0.5379,17,walking,0.5353
standing,10,2026-08-19T02:56:46.677058+01:00,2,84,0,accepted,standing,0.5416,18,walking,0.4394
standing,11,2026-08-19T02:56:47.684783+01:00,2,85,0,accepted,standing,0.5697,19,walking,0.3521
standing,12,2026-08-19T02:56:48.750214+01:00,2,86,0,accepted,standing,0.5848,20,carrying,0.2871
standing,13,2026-08-19T02:56:49.858931+01:00,2,87,0,accepted,standing,0.5531,21,carrying,0.4045
standing,14,2026-08-19T02:56:50.991594+01:00,2,88,0,accepted,standing,0.4237,22,carrying,0.5209
standing,15,2026-08-19T02:56:52.107489+01:00,2,89,0,accepted,standing,0.3151,23,carrying,0.6008
Starting walking
walking,1,2026-08-19T02:56:55.199676+01:00,2,92,0,accepted,idle,0.5714,26,carrying,0.6818
walking,2,2026-08-19T02:56:56.322931+01:00,2,93,0,accepted,idle,0.5542,27,carrying,0.6794
walking,3,2026-08-19T02:56:57.418371+01:00,2,94,0,accepted,walking,0.4053,28,carrying,0.764
walking,4,2026-08-19T02:56:58.483063+01:00,2,95,0,accepted,walking,0.6653,29,carrying,0.8777
walking,5,2026-08-19T02:56:59.634853+01:00,2,96,0,accepted,walking,0.8435,30,carrying,0.9039
walking,6,2026-08-19T02:57:00.663880+01:00,2,97,0,accepted,walking,0.955,31,carrying,0.9013
walking,7,2026-08-19T02:57:01.801285+01:00,2,98,0,accepted,walking,0.9863,32,carrying,0.8769
walking,8,2026-08-19T02:57:02.843943+01:00,2,99,0,accepted,walking,0.9949,33,carrying,0.852
walking,9,2026-08-19T02:57:03.864128+01:00,2,100,0,accepted,walking,0.998,34,carrying,0.8349
walking,10,2026-08-19T02:57:04.941829+01:00,2,101,0,accepted,walking,0.9992,35,carrying,0.8712
walking,11,2026-08-19T02:57:05.949238+01:00,2,102,0,accepted,walking,0.9996,36,carrying,0.8655
walking,12,2026-08-19T02:57:06.973047+01:00,2,103,0,accepted,walking,0.9998,37,carrying,0.8221
walking,13,2026-08-19T02:57:08.159362+01:00,2,104,0,accepted,walking,0.9999,38,carrying,0.7667
walking,14,2026-08-19T02:57:09.234737+01:00,2,105,0,accepted,walking,1.0,40,carrying,0.7136
walking,15,2026-08-19T02:57:10.319786+01:00,2,106,0,accepted,walking,1.0,40,carrying,0.7136
Starting bending
bending,1,2026-08-19T02:57:13.517812+01:00,2,109,0,accepted,walking,1.0,43,walking,0.7232
bending,2,2026-08-19T02:57:14.526980+01:00,2,110,0,accepted,walking,0.9999,44,walking,0.8739
bending,3,2026-08-19T02:57:15.542919+01:00,2,111,0,accepted,walking,0.9999,45,walking,0.9642
bending,4,2026-08-19T02:57:16.608567+01:00,2,112,0,accepted,walking,0.9999,46,walking,0.9577
bending,5,2026-08-19T02:57:18.690134+01:00,2,114,0,accepted,walking,0.9988,48,walking,0.6205
bending,6,2026-08-19T02:57:19.714908+01:00,2,115,0,accepted,walking,0.9951,49,bending,0.5101
bending,7,2026-08-19T02:57:20.795924+01:00,2,116,0,accepted,walking,0.925,50,bending,0.7032
bending,8,2026-08-19T02:57:21.811989+01:00,2,117,0,accepted,walking,0.6964,51,bending,0.735
bending,9,2026-08-19T02:57:22.855858+01:00,2,118,0,accepted,bending,0.8415,52,bending,0.8524
bending,10,2026-08-19T02:57:23.884176+01:00,2,119,0,accepted,bending,0.863,53,bending,0.8675
bending,11,2026-08-19T02:57:24.891213+01:00,2,120,0,accepted,bending,0.9041,54,bending,0.9004
bending,12,2026-08-19T02:57:25.962610+01:00,2,121,0,accepted,bending,0.8865,55,bending,0.9283
bending,13,2026-08-19T02:57:27.059491+01:00,2,122,0,accepted,bending,0.8656,56,bending,0.9303
bending,14,2026-08-19T02:57:28.193200+01:00,2,123,0,accepted,bending,0.9339,57,bending,0.9561
bending,15,2026-08-19T02:57:29.277809+01:00,2,124,0,accepted,bending,0.9496,58,bending,0.9583
