trial_id,round,activity,start_utc,end_utc,duration_sec,valid,notes
walking_r01,1,walking,2026-08-16T13:49:27.421Z,2026-08-16T13:49:47.505Z,20.085,true,
standing_r01,1,standing,2026-08-16T13:50:05.541Z,2026-08-16T13:50:25.623Z,20.082,true,
idle_r01,1,idle,2026-08-16T13:50:43.462Z,2026-08-16T13:51:03.534Z,20.072,true,
bending_r01,1,bending,2026-08-16T13:51:21.244Z,2026-08-16T13:51:41.331Z,20.087,true,
carrying_r01,1,carrying,2026-08-16T13:51:59.310Z,2026-08-16T13:52:19.379Z,20.069,true,
material_handling_r01,1,material_handling,2026-08-16T13:52:38.783Z,2026-08-16T13:52:58.857Z,20.073,true,
standing_r02,2,standing,2026-08-16T13:53:21.197Z,2026-08-16T13:53:41.276Z,20.079,true,
bending_r02,2,bending,2026-08-16T13:53:59.151Z,2026-08-16T13:54:19.251Z,20.101,true,
material_handling_r02,2,material_handling,2026-08-16T13:54:38.574Z,2026-08-16T13:54:58.717Z,20.144,true,
idle_r02,2,idle,2026-08-16T13:55:17.160Z,2026-08-16T13:55:37.313Z,20.153,true,
walking_r02,2,walking,2026-08-16T13:55:55.110Z,2026-08-16T13:56:15.260Z,20.150,true,
carrying_r02,2,carrying,2026-08-16T13:56:33.337Z,2026-08-16T13:56:53.472Z,20.135,true,
carrying_r03,3,carrying,2026-08-16T13:57:15.203Z,2026-08-16T13:57:35.365Z,20.162,true,
walking_r03,3,walking,2026-08-16T13:57:53.347Z,2026-08-16T13:58:13.476Z,20.129,true,
idle_r03,3,idle,2026-08-16T13:58:31.201Z,2026-08-16T13:58:51.365Z,20.164,true,
material_handling_r03,3,material_handling,2026-08-16T13:59:10.689Z,2026-08-16T13:59:30.835Z,20.146,true,
bending_r03,3,bending,2026-08-16T13:59:49.431Z,2026-08-16T14:00:09.590Z,20.159,true,
standing_r03,3,standing,2026-08-16T14:00:27.748Z,2026-08-16T14:00:47.915Z,20.167,true,
