ground_truth,sample,elapsed_seconds,observed_at,source_timestamp,track_id,accepted_delta,rejected_delta,decision,stgcn_ready,stgcn_frames,stgcn,stgcn_confidence,gru_ready,gru_observations,gru,gru_confidence
standing,1,0.0,2026-08-19T03:51:58.965604+01:00,2026-08-19T03:51:58.962054+01:00,2,22,7,cadence_slot,True,16,idle,0.9936580061912537,True,53,idle,0.5725306272506714
standing,2,0.505,2026-08-19T03:51:59.470472+01:00,2026-08-19T03:51:59.436589+01:00,2,25,7,accepted,True,16,idle,0.9935186505317688,True,56,idle,0.6156455874443054
standing,3,1.0,2026-08-19T03:51:59.967291+01:00,2026-08-19T03:51:59.774200+01:00,2,26,8,accepted,True,16,idle,0.9933851361274719,True,57,idle,0.629380464553833
standing,4,1.505,2026-08-19T03:52:00.471179+01:00,2026-08-19T03:52:00.393378+01:00,2,28,9,cadence_slot,True,16,idle,0.993455708026886,True,59,idle,0.6738339066505432
standing,5,2.003,2026-08-19T03:52:00.969460+01:00,2026-08-19T03:52:00.795405+01:00,2,29,10,cadence_slot,True,16,idle,0.9911457896232605,True,60,idle,0.7449604272842407
standing,6,2.5,2026-08-19T03:52:01.467137+01:00,2026-08-19T03:52:01.428183+01:00,2,33,10,accepted,True,16,idle,0.8849124312400818,True,64,idle,0.6929437518119812
standing,7,3.005,2026-08-19T03:52:01.982881+01:00,2026-08-19T03:52:02.011459+01:00,2,35,11,accepted,True,16,idle,0.8355256915092468,True,66,idle,0.5263301134109497
standing,8,3.504,2026-08-19T03:52:02.469781+01:00,2026-08-19T03:52:02.398949+01:00,2,36,12,cadence_slot,True,16,idle,0.817459225654602,True,67,standing,0.5074644088745117
standing,9,4.005,2026-08-19T03:52:02.971355+01:00,2026-08-19T03:52:02.818177+01:00,2,39,12,accepted,True,16,idle,0.8680444359779358,True,70,standing,0.5486111640930176
standing,10,4.504,2026-08-19T03:52:03.471301+01:00,2026-08-19T03:52:03.424083+01:00,2,42,13,accepted,True,16,idle,0.957544207572937,True,73,idle,0.5095465779304504
standing,11,5.005,2026-08-19T03:52:03.971857+01:00,2026-08-19T03:52:03.908324+01:00,2,44,14,accepted,True,16,idle,0.970737636089325,True,75,idle,0.5456058382987976
