backend,ppe_item,activity,evaluated_frames,positive_gt_frames,negative_gt_frames,tp,tn,fp,fn,false_negative_rate,false_positive_rate,recall,specificity
PyTorch,helmet,Bending,11,11,0,4,0,0,7,0.6363636363636364,0.0,0.36363636363636365,0.0
PyTorch,helmet,Bending - Short walk,209,209,0,59,0,0,150,0.7177033492822966,0.0,0.2822966507177033,0.0
PyTorch,helmet,Bending / Carrying,154,0,154,0,151,3,0,0.0,0.01948051948051948,0.0,0.9805194805194806
PyTorch,helmet,Carrying,176,176,0,136,0,0,40,0.22727272727272727,0.0,0.7727272727272727,0.0
PyTorch,helmet,Idle,297,165,132,160,132,0,5,0.030303030303030304,0.0,0.9696969696969697,1.0
PyTorch,helmet,Material handling,385,385,0,227,0,0,158,0.4103896103896104,0.0,0.5896103896103896,0.0
PyTorch,helmet,Mixed natural sequence,143,143,0,52,0,0,91,0.6363636363636364,0.0,0.36363636363636365,0.0
PyTorch,helmet,Standing,495,352,143,281,141,2,71,0.20170454545454544,0.013986013986013986,0.7982954545454546,0.986013986013986
PyTorch,helmet,Standing / Walking,286,99,187,17,184,3,82,0.8282828282828283,0.016042780748663103,0.1717171717171717,0.983957219251337
PyTorch,helmet,Standing / material handling,165,165,0,103,0,0,62,0.37575757575757573,0.0,0.6242424242424243,0.0
PyTorch,helmet,Walking,517,385,132,277,132,0,108,0.2805194805194805,0.0,0.7194805194805195,1.0
PyTorch,helmet,Walking / Standing / Walking,187,0,187,0,187,0,0,0.0,0.0,0.0,1.0
PyTorch,helmet,Walking / standing,110,0,110,0,110,0,0,0.0,0.0,0.0,1.0
PyTorch,vest,Bending,11,11,0,11,0,0,0,0.0,0.0,1.0,0.0
PyTorch,vest,Bending - Short walk,209,209,0,189,0,0,20,0.09569377990430622,0.0,0.9043062200956937,0.0
PyTorch,vest,Bending / Carrying,154,0,154,0,150,4,0,0.0,0.025974025974025976,0.0,0.974025974025974
PyTorch,vest,Carrying,176,176,0,173,0,0,3,0.017045454545454544,0.0,0.9829545454545454,0.0
PyTorch,vest,Idle,297,165,132,165,130,2,0,0.0,0.015151515151515152,1.0,0.9848484848484849
PyTorch,vest,Material handling,385,385,0,352,0,0,33,0.08571428571428572,0.0,0.9142857142857143,0.0
PyTorch,vest,Mixed natural sequence,143,0,143,0,130,13,0,0.0,0.09090909090909091,0.0,0.9090909090909091
PyTorch,vest,Standing,495,440,55,440,55,0,0,0.0,0.0,1.0,1.0
PyTorch,vest,Standing / Walking,286,0,286,0,251,35,0,0.0,0.12237762237762238,0.0,0.8776223776223776
PyTorch,vest,Standing / material handling,165,165,0,165,0,0,0,0.0,0.0,1.0,0.0
PyTorch,vest,Walking,517,385,132,378,132,0,7,0.01818181818181818,0.0,0.9818181818181818,1.0
PyTorch,vest,Walking / Standing / Walking,187,0,187,0,186,1,0,0.0,0.0053475935828877,0.0,0.9946524064171123
PyTorch,vest,Walking / standing,110,110,0,109,0,0,1,0.00909090909090909,0.0,0.990909090909091,0.0
PyTorch,gloves,Bending,11,11,0,0,0,0,11,1.0,0.0,0.0,0.0
PyTorch,gloves,Bending - Short walk,209,209,0,10,0,0,199,0.9521531100478469,0.0,0.04784688995215311,0.0
PyTorch,gloves,Bending / Carrying,154,0,154,0,154,0,0,0.0,0.0,0.0,1.0
PyTorch,gloves,Carrying,176,176,0,6,0,0,170,0.9659090909090909,0.0,0.03409090909090909,0.0
PyTorch,gloves,Idle,297,165,132,0,132,0,165,1.0,0.0,0.0,1.0
PyTorch,gloves,Material handling,385,385,0,5,0,0,380,0.987012987012987,0.0,0.012987012987012988,0.0
PyTorch,gloves,Mixed natural sequence,143,143,0,0,0,0,143,1.0,0.0,0.0,0.0
PyTorch,gloves,Standing,495,440,55,117,55,0,323,0.7340909090909091,0.0,0.26590909090909093,1.0
